AVAILABLE QUANTITY OF ITEM: 3118
QTD OF MANUFACTURED PIECES: 3118
ELAPSED TIME:  3611.63
OBJ. FUNCTION VALUE: 105.0
STARTS: 105
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1806_5051;10
1;K2;2;1806_5051;9
1;K2;3;6774_01030;12
2;K1;1;1567A0100;6
2;K1;2;4781A0100;8
2;K1;3;1964A2200;8
2;K1;4;1559A0200;12
2;K1;5;4781A0100;8
2;K2;1;4781A0100;8
2;K2;2;1559A0200;12
3;K1;1;1567A0100;6
3;K1;2;1567A0100;6
3;K1;3;1567A0100;6
3;K1;4;1567A0100;6
3;K1;5;829D0100;12
3;K1;6;1567A0100;6
3;K1;7;787A0100;3
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;830D0100;12
4;K1;2;830D0100;12
4;K1;3;920A0100;8
4;K1;4;4781A0100;8
4;K1;5;830D0100;12
4;K2;1;1806A0200;2
4;K2;2;1806A0200;2
4;K2;3;1806A0200;2
5;K1;1;4781A0100;8
5;K1;2;830D0100;12
5;K1;3;830D0100;12
5;K1;4;1567A0100;6
5;K1;5;787A0100;2
5;K1;6;1567A0100;6
5;K2;1;1806A0200;2
5;K2;2;1806A0200;2
5;K2;3;1806A0200;2
6;K1;1;1568_0101;4
6;K1;2;1806_041;2
6;K1;3;1394_0101;6
6;K1;4;6753_02011;12
6;K1;5;6753_02011;12
6;K2;1;1555A0200;12
6;K2;2;810A0400;12
7;K1;1;1559A0200;12
7;K1;2;830D0100;12
7;K1;3;787A0100;3
7;K1;4;830D0100;12
7;K1;5;6896A0100;2
7;K2;1;1806A0200;2
7;K2;2;1806A0200;2
7;K2;3;1806A0200;2
8;K1;1;4781A0100;8
8;K1;2;4778_0102;8
8;K1;3;786A0900;6
8;K1;4;1567A0100;6
8;K1;5;1567A0100;6
8;K1;6;830D0100;12
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;787A0100;3
9;K1;2;1567A0100;6
9;K1;3;1559A0200;12
9;K1;4;1567A0100;6
9;K1;5;6896A0100;12
9;K1;6;4778_0102;8
9;K2;1;1806A0200;2
9;K2;2;1806A0200;2
9;K2;3;1806A0200;2
10;K1;1;1806D0900;20
10;K1;2;1806_041;2
10;K1;3;1568_0101;24
10;K1;4;1806_041;2
10;K1;5;962A0100;6
10;K2;1;831A0600;10
10;K2;2;831A0600;10
10;K2;3;831A0600;10
10;K2;4;831A0600;10
11;K1;1;1556A0200;4
11;K1;2;4778_0102;8
11;K1;3;1567A0100;6
11;K1;4;4778_0102;4
11;K1;5;1567A0100;6
11;K1;6;1567A0100;4
11;K2;1;831A0600;10
11;K2;2;786A0900;6
11;K2;3;831A0600;10
11;K2;4;786A0900;6
12;K1;1;1806_041;2
12;K1;2;3958A0600;24
12;K1;3;1806_041;2
12;K1;4;3957A0600;24
12;K1;5;1806_041;2
12;K2;1;1806A0200;2
12;K2;2;1806A0200;2
12;K2;3;1806A0200;2
13;K1;1;1567A0100;6
13;K1;2;6896A0100;12
13;K1;3;1567A0100;6
13;K1;4;787A0100;3
13;K1;5;1567A0100;6
13;K1;6;1964A2200;4
13;K2;1;787A0100;3
13;K2;2;787A0100;3
13;K2;3;787A0100;3
14;K1;1;1806_041;2
14;K1;2;1806_041;2
14;K1;3;1806_041;2
14;K1;4;1806_041;2
14;K1;5;1806_041;2
14;K1;6;1806_041;2
14;K2;1;1806A0200;2
14;K2;2;1806A0200;2
14;K2;3;1806A0200;2
15;K1;1;830D0100;12
15;K1;2;1567A0100;6
15;K1;3;1567A0100;6
15;K1;4;1559A0200;6
15;K1;5;787A0100;3
15;K1;6;4781A0100;8
15;K2;1;1806A0200;2
15;K2;2;1806A0200;2
15;K2;3;1806A0200;2
16;K1;1;1567A0100;6
16;K1;2;829D0100;12
16;K1;3;1567A0100;6
16;K1;4;1567A0100;6
16;K1;5;1567A0100;6
16;K1;6;1567A0100;6
16;K1;7;787A0100;3
16;K2;1;787A0100;3
16;K2;2;787A0100;3
16;K2;3;787A0100;3
17;K1;1;786A0700;6
17;K1;2;1806A0200;2
