AVAILABLE QUANTITY OF ITEM: 3396
QTD OF MANUFACTURED PIECES: 3396
ELAPSED TIME:  3608.24
OBJ. FUNCTION VALUE: 111.0
STARTS: 111
1 IF OPTIMAL SOLUTION: ModelStatus.Integer

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
1;K2;1;1806A0200;2
1;K2;2;1806A0200;2
1;K2;3;1806A0200;2
2;K1;1;787A0100;3
2;K1;2;787A0100;3
2;K1;3;787A0100;3
2;K1;4;787A0100;3
2;K1;5;787A0100;3
2;K1;6;787A0100;3
2;K1;7;787A0100;3
2;K2;1;1806A0200;2
2;K2;2;1806A0200;2
2;K2;3;1806A0200;2
3;K1;1;1806_041;2
3;K1;2;3470_028;6
3;K1;3;1320_0101;22
3;K1;4;1806_041;1
3;K1;5;3470_085;6
3;K1;6;1806_041;1
3;K2;1;1806A0200;2
3;K2;2;1806A0200;2
3;K2;3;1806A0200;2
4;K1;1;4778_0102;8
4;K1;2;829D0100;12
4;K1;3;829D0100;12
4;K1;4;829D0100;12
4;K1;5;2434A2200;6
4;K2;1;798_0184;5
4;K2;2;60091_011;12
4;K2;3;3470_085;6
5;K1;1;6774_01030;9
5;K1;2;3470_028;6
5;K1;3;1312_0101;24
5;K1;4;6753_02011;12
5;K1;5;1312_0101;24
5;K1;6;1806_041;2
5;K2;1;831A0600;10
5;K2;2;786A0900;6
5;K2;3;831A0600;10
5;K2;4;786A0900;6
6;K1;1;1806_041;2
6;K1;2;6753_02011;12
6;K1;3;1806_041;2
6;K1;4;3470_085;6
6;K1;5;1394_0101;24
6;K1;6;3470_085;2
6;K2;1;786A0900;6
6;K2;2;786A0900;6
6;K2;3;786A0900;6
6;K2;4;786A0900;6
7;K1;1;6753_02011;12
7;K1;2;3470_028;6
7;K1;3;3470_085;6
7;K1;4;6724_0271;12
7;K1;5;3470_028;6
7;K1;6;1806_041;2
7;K2;1;786A0900;6
7;K2;2;831A0600;10
7;K2;3;831A0600;10
7;K2;4;786A0900;6
8;K1;1;1806_041;2
8;K1;2;3470_085;6
8;K1;3;1320_0101;24
8;K1;4;60091_011;12
8;K1;5;6724_0271;12
8;K1;6;1806_041;2
8;K2;1;1806A0200;2
8;K2;2;1806A0200;2
8;K2;3;1806A0200;2
9;K1;1;1806_041;2
9;K1;2;1806_041;2
9;K1;3;6753_02011;4
9;K1;4;6774_01030;12
9;K1;5;3470_028;6
9;K1;6;1806_041;2
9;K2;1;342_0460;12
9;K2;2;342_0460;1
9;K2;3;60078_0900;12
9;K2;4;342_0460;11
10;K1;1;1394_0101;24
10;K1;2;1806_041;2
10;K1;3;1312_0101;24
10;K1;4;6724_0271;12
10;K1;5;6724_0271;12
10;K1;6;1806_041;2
10;K2;1;1806A0200;2
10;K2;2;1806A0200;2
10;K2;3;1806A0200;2
11;K1;1;2434A2200;6
11;K1;2;787A0100;3
11;K1;3;1567A0100;6
11;K1;4;4778_0102;8
11;K1;5;1567A0100;6
11;K1;6;829D0100;12
11;K2;1;1806A0200;2
11;K2;2;1806A0200;2
11;K2;3;1806A0200;2
12;K1;1;787A0100;3
12;K1;2;787A0100;3
12;K1;3;786A0900;6
12;K1;4;4778_0102;8
12;K1;5;787A0100;3
12;K1;6;1567A0100;6
12;K1;7;1567A0100;6
12;K2;1;786A0900;6
12;K2;2;831A0600;10
12;K2;3;786A0900;6
12;K2;4;831A0600;10
13;K1;1;787A0100;3
13;K1;2;787A0100;3
13;K1;3;787A0100;3
13;K1;4;787A0100;3
13;K1;5;787A0100;3
13;K1;6;4774_0002;12
13;K2;1;1806A0200;2
13;K2;2;1806A0200;2
13;K2;3;1806A0200;2
14;K1;1;810A0400;12
14;K1;2;787A0100;3
14;K1;3;1554A0200;8
14;K1;4;787A0100;3
14;K1;5;1567A0100;6
14;K1;6;787A0100;3
14;K2;1;787A0100;2
14;K2;2;787A0100;3
14;K2;3;831A0600;10
15;K1;1;2434A2200;6
15;K1;2;4774_0002;12
15;K1;3;4774_0002;12
15;K1;4;4774_0002;12
15;K1;5;4774_0002;12
15;K2;1;786A0900;6
15;K2;2;831A0600;10
15;K2;3;831A0600;10
