AVAILABLE QUANTITY OF ITEM: 985
QTD OF MANUFACTURED PIECES: 985
ELAPSED TIME:   725.98
OBJ. FUNCTION VALUE: 27.0
STARTS: 27
1 IF OPTIMAL SOLUTION: ModelStatus.OptimalGlobal

PERIOD;TANK;FIX_DEVICE;ITEM;QUANTITY
2;K1;1;831A0600;10
2;K1;2;2434A2200;6
2;K1;3;1964A2200;8
2;K1;4;810A0400;12
2;K1;5;810A0400;12
2;K2;1;830D0100;12
2;K2;2;830D0100;12
3;K1;1;4775_0002;12
3;K1;2;4775_0002;12
3;K1;3;2434A2200;6
3;K1;4;1964A2200;8
3;K1;5;831A0600;10
3;K2;1;3470_085;6
3;K2;2;798_0184;5
3;K2;3;6724_0941;12
4;K1;1;810A0400;12
4;K1;2;1386A2200;12
4;K1;3;1554A0200;8
4;K1;4;4775_0002;12
4;K1;5;4775_0002;12
4;K2;1;798_0184;5
4;K2;2;6724_0941;4
4;K2;3;3470_028;6
5;K1;1;6724_0941;12
5;K1;2;3470_028;6
5;K1;3;3470_028;6
5;K1;4;3470_028;6
5;K1;5;3470_085;6
5;K1;6;3470_028;6
5;K1;7;3470_085;6
5;K2;1;3470_085;6
5;K2;2;3470_028;6
5;K2;3;3470_028;6
6;K1;1;810A0400;12
6;K1;2;1964A2200;8
6;K1;3;4775_0002;12
6;K1;4;786A0900;6
6;K1;5;1554A0200;8
6;K2;1;786A0700;6
6;K2;2;786A0700;8
7;K1;1;1386A2200;4
7;K1;2;1964A2200;8
7;K1;3;831A0600;10
7;K1;4;2434A2200;6
7;K1;5;810A0400;12
7;K2;1;786A0900;6
7;K2;2;786A0900;6
7;K2;3;4775_0002;12
8;K1;1;3445A1800;6
8;K1;2;3957A0600;24
8;K1;3;3958A0600;24
8;K1;4;3958A0600;24
8;K1;5;3445A1800;6
8;K1;6;6724_0941;12
8;K2;1;798_0184;5
8;K2;2;798_0184;5
8;K2;3;3470_028;6
9;K1;1;S4_9504612;21
9;K1;2;786A0600;3
9;K1;3;786A0700;8
9;K1;4;786A0600;1
9;K1;5;926_0102;12
9;K2;1;926_0102;12
9;K2;2;S4_9504622;9
10;K1;1;3957A0600;9
10;K1;2;3958A0600;24
10;K1;3;3957A0600;24
10;K1;4;3958A0600;24
10;K1;5;3958A0600;24
10;K2;1;798_0184;4
10;K2;2;3470_028;6
10;K2;3;3470_085;6
11;K1;1;786A0900;6
11;K1;2;786A0900;6
11;K1;3;2434A2200;6
11;K1;4;1386A2200;12
11;K1;5;2434A2200;6
11;K1;6;786A0900;6
11;K2;1;S4_9504612;9
11;K2;2;926_0102;6
12;K1;1;2434A2200;4
12;K1;2;4775_0002;12
12;K1;3;1554A0200;8
12;K1;4;4775_0002;12
12;K1;5;2434A2200;6
12;K2;1;798_0184;5
12;K2;2;798_0184;5
12;K2;3;3470_028;6
13;K1;1;1964A2200;8
13;K1;2;786A0900;6
13;K1;3;830D0100;12
13;K1;4;1554A0200;6
13;K1;5;786A0900;6
13;K1;6;831A0600;10
13;K2;1;3445A1800;6
13;K2;2;3445A1800;6
13;K2;3;3445A1800;5
13;K2;4;3445A1800;1
14;K1;1;786A0700;8
14;K1;2;786A0600;3
14;K1;3;786A0600;3
14;K1;4;786A0600;3
14;K1;5;926_0102;12
14;K1;6;786A0600;3
14;K2;1;4775_0002;12
14;K2;2;786A0900;6
14;K2;3;786A0900;6
15;K1;1;S4_9504622;21
15;K1;2;926_0102;12
15;K1;3;786A0600;3
15;K1;4;786A0600;3
15;K1;5;786A0600;3
15;K1;6;786A0600;3
END
